2023-07-24 08:54:05 Debug: Notice (8): Undefined index: id in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\controllers\app_controller.php, line 57]
2023-07-24 08:54:05 Debug: Notice (8): Undefined index: id in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\views\elements\nav-bar.ctp, line 2]
2023-07-24 08:54:34 Debug: Notice (8): Undefined index: id in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\controllers\app_controller.php, line 57]
2023-07-24 08:54:34 Debug: Notice (8): Undefined index: id in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\views\elements\nav-bar.ctp, line 2]
2023-07-24 08:55:08 Debug: Notice (8): Undefined index: first_name in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\views\elements\nav-bar.ctp, line 5]
2023-07-24 08:55:08 Debug: Notice (8): Undefined index: id in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\controllers\app_controller.php, line 57]
2023-07-24 08:55:08 Debug: Notice (8): Undefined index: id in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\views\elements\nav-bar.ctp, line 2]
2023-07-24 08:55:22 Debug: Notice (8): Undefined index: id in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\controllers\app_controller.php, line 57]
2023-07-24 08:55:22 Debug: Notice (8): Undefined index: id in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\views\elements\nav-bar.ctp, line 2]
2023-07-24 08:56:17 Debug: Notice (8): Undefined index: id in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\controllers\app_controller.php, line 57]
2023-07-24 08:56:17 Debug: Notice (8): Undefined index: id in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\views\elements\nav-bar.ctp, line 2]
2023-07-24 08:56:41 Debug: Notice (8): Undefined index: id in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\controllers\app_controller.php, line 57]
2023-07-24 08:56:41 Debug: Notice (8): Undefined index: id in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\views\elements\nav-bar.ctp, line 2]
2023-07-24 08:57:18 Debug: Notice (8): Undefined index: Userinfo in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\views\elements\nav-bar.ctp, line 5]
2023-07-24 08:57:18 Debug: Notice (8): Undefined index: id in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\controllers\app_controller.php, line 57]
2023-07-24 08:57:18 Debug: Notice (8): Undefined index: id in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\views\elements\nav-bar.ctp, line 2]
2023-07-24 08:57:18 Debug: Notice (8): Undefined index: Userinfo in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\views\elements\nav-bar.ctp, line 5]
2023-07-24 08:57:38 Debug: Notice (8): Undefined index: id in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\controllers\app_controller.php, line 57]
2023-07-24 08:57:38 Debug: Notice (8): Undefined index: id in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\views\elements\nav-bar.ctp, line 2]
2023-07-24 08:58:23 Debug: Notice (8): Array to string conversion in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\views\elements\nav-bar.ctp, line 9]
2023-07-24 08:58:23 Debug: Notice (8): Undefined index: id in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\controllers\app_controller.php, line 57]
2023-07-24 08:58:23 Debug: Notice (8): Undefined index: id in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\views\elements\nav-bar.ctp, line 4]
2023-07-24 08:58:23 Debug: Notice (8): Array to string conversion in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\views\elements\nav-bar.ctp, line 9]
2023-07-24 08:58:38 Debug: Notice (8): Undefined index: id in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\controllers\app_controller.php, line 57]
2023-07-24 08:58:38 Debug: Notice (8): Undefined index: id in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\views\elements\nav-bar.ctp, line 4]
2023-07-24 08:58:54 Debug: Notice (8): Undefined index: id in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\controllers\app_controller.php, line 57]
2023-07-24 08:59:16 Debug: Notice (8): Undefined index: id in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\controllers\app_controller.php, line 57]
